id,dataset,grade,problem,answer,operation,formula
nluds-0017,ASDiv,1-2,Jake has six fewer peaches than Steven. Steven has 13 peaches. How many peaches does Jake have?,7 (peaches),Subtraction,13-6=7
nluds-0018,ASDiv,1-2,David has zero fewer apples than Marin. Marin has three apples. How many apples does David have?,3 (apples),Subtraction,3-0=3
nluds-0019,ASDiv,1-2,Jake has 34 fewer balls than Audrey. Audrey has 41 balls. How many balls does Jake have?,7 (balls),Subtraction,41-34=7
nluds-0020,ASDiv,1-2,Brian has zero fewer oranges than Marcie. Marcie has 12 oranges. How many oranges does Brian have?,12 (oranges),Subtraction,12-0=12
nluds-0021,ASDiv,1-2,2 birds were sitting on the fence. 4 more birds came to join them. How many birds are sitting on the fence?,6 (birds),Addition,2+4=6
nluds-0022,ASDiv,1-2,You have 7 cookies and you ate 2 of them. How many cookies do you have left?,5 (cookies),Subtraction,7-2=5
nluds-0023,ASDiv,1-2,You have collected 7 crickets. How many more crickets do you need to collect to have 11 crickets?,4 (crickets),Subtraction,11-7=4
nluds-0024,ASDiv,1-2,4 birds are sitting on a branch. 1 flies away. How many birds are left on the branch?,3 (birds),Subtraction,4-1=3
nluds-0025,ASDiv,1-2,3 raccoons are playing in the woods. 2 go home to eat dinner. How many raccoons are left in the woods?,1 (raccoons),Subtraction,3-2=1
nluds-0026,ASDiv,1-2,"1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too. How many pigeons are eating breadcrumbs now?",2 (pigeons),Addition,1+1=2
nluds-0027,ASDiv,1-2,3 owls were sitting on the fence. 2 more owls joined them. How many owls are on the fence now?,5 (owls),Addition,3+2=5
nluds-0028,ASDiv,1-2,2 beavers were working on their home. 1 went for a swim. How many beavers are still working on their home?,1 (beavers),Subtraction,2-1=1
nluds-0029,ASDiv,1-2,2 toucans are sitting on a tree limb. 1 more toucan joins them. How many toucans in all?,3 (toucans),Addition,2+1=3
nluds-0030,ASDiv,1-2,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime. Who has more money?",Mrs. Hilt,Comparison,2*1  (cent)+2 (dime)*10 (cent/dime) +2 (nickel)*5 (cent/nickel)=32 cents(Mrs. Hilt) > 4*1 (cent)+1 (nickel)*5 (cent/nickel) +1  (dime)*10 (cent/dime)=19 cents(Jacob)
nluds-0031,ASDiv,1-2,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime. How much more?",13 (pennies),Subtraction,(2*1  (cent)+2 (dime)*10 (cent/dime) +2 (nickel)*5 (cent/nickel)) - (4*1 (cent)+1 (nickel)*5 (cent/nickel) +1  (dime)*10 (cent/dime)) = 13 (cent)
nluds-0032,ASDiv,1-2,"Mrs. Hilt found a quarter, 1 dime, and 2 nickels. How much money did she find?",45 (cents),Sum,1 (quarter)*25 (cent/quarter) + 1 (dime)*10 (cent/dime) + 2 (nickel)*5 (cent/nickel) = 45 (cent)
nluds-0033,ASDiv,1-2,"Mrs. Hilt's favorite first grade classes are baking muffins. Mrs. Brier's class bakes 18 muffins, Mrs. MacAdams's class bakes 20 muffins, and Mrs. Flannery's class bakes 17 muffins. How many muffins does first grade bake in all?",55 (muffins),Sum,18+20+17=55
nluds-0034,ASDiv,1-2,Mrs. Hilt bought a yoyo for 24 cents and a whistle for 14 cents. How much did she spend in all for the two toys?,38 (cents),Addition,24+14=38
nluds-0035,ASDiv,1-2,Mrs. Hilt made 5 Rice Krispie Treats. She used 8 large marshmallows and 10 mini marshmallows. How many marshmallows did she use altogether?,18 (marshmallows),Addition,8+10=18
nluds-0036,ASDiv,1-2,"At Mrs. Hilt's house, there was 29 inches of snow, and Brecknock Elementary School received 17 inches of snow. How much more snow did Mrs. Hilt's house have?",12 (inches of snow),Subtraction,29-17=12
nluds-0037,ASDiv,1-2,Mrs. Hilt has $10. She spends $3 on a toy truck and $2 on a pencil case. How much money does she have left?,5 (dollars),Subtraction,10-(3+2)=5
nluds-0038,ASDiv,1-2,Mrs. Hilt reads 5 books a day. How many books does she read in 3 days?,15 (books),Sum,5+5+5=15
nluds-0039,ASDiv,1-2,Mrs. Hilt saw 2 dogs and 2 chickens. How many animal legs did she see?,12 (legs),Addition,(4+4)+(2+2)=12
nluds-0040,ASDiv,1-2,Mrs. Hilt saw 3 bugs eat two flowers each. How many flowers total did the bugs eat?,6 (flowers),Sum,2+2+2=6
nluds-0041,ASDiv,1-2,Mrs. Hilt has 15 friends. She can only take 8 of her friends to the movies. How many friends can't go to the movies?,7 (friends),Subtraction,15-8=7
nluds-0042,ASDiv,1-2,"Mrs. Hilt ran 3 miles on Monday, 2 miles on Wednesday, and 7 miles on Friday. How many total miles did she run that week?",12 (miles),Sum,3+2+7=12
nluds-0043,ASDiv,1-2,Mrs. Hilt picked up a book that has 17 pages in it. She read 11 of the pages. How many pages did she have left to read?,6 (pages),Subtraction,17-11=6
nluds-0044,ASDiv,1-2,Mrs. Hilt had 15 cents. She bought a pencil for 11 cents. How much money did she have left?,4 (cents),Subtraction,15-11=4
nluds-0045,ASDiv,1-2,Mrs. Hilt met 15 friends. Nine of the friends were carrying pears. The rest were carrying oranges. How many friends were carrying oranges?,6 (friends),Subtraction,15-9=6
nluds-0046,ASDiv,1-2,Mrs. Hilt spent 25 cents on one caramel apple and 15 cents on one ice cream cone. How much more did the apple cost?,10 (cents),Subtraction,25-15=10
nluds-0047,ASDiv,1-2,Mrs. Hilt bought 2 pizzas. Each pizza had 8 slices. How many total slices of pizza did she have?,16 (slices),Addition,8+8=16
nluds-0048,ASDiv,1-2,Mrs. Hilt read 2 books per day. How many books did she read in one week?,14 (books),Sum,2+2+2+2+2+2+2=14
nluds-0049,ASDiv,1-2,Mrs. Hilt ate 5 apples every hour. How many apples had she eaten at the end of 3 hours?,15 (apples),Sum,5+5+5=15
nluds-0050,ASDiv,1-2,Mrs. Hilt gave 2 pieces of candy to each student in the group. The group had a total of 9 students in it. How many pieces of candy did Mrs. Hilt give away?,18 (pieces),Sum,2+2+2+2+2+2+2+2+2=18
nluds-0051,ASDiv,1-2,Mary's mom is getting ready for Mary's birthday party. She blew up 6 balloons this morning and 5 balloons this afternoon. How many balloons did she blow up in all?,11 (balloons),Addition,6+5=11
nluds-0052,ASDiv,1-2,"Shelby's teacher gives out gold stars for great math work. Yesterday, Shelby earned 4 gold stars. Today, she earned 3 more. How many gold stars did Shelby earn in all?",7 (gold stars),Addition,4+3=7
nluds-0053,ASDiv,1-2,The Litter Patrol picked up 10 glass bottles and 8 aluminum cans on Saturday. How many pieces of litter did they pick up altogether?,18 (pieces),Addition,10+8=18
nluds-0054,ASDiv,1-2,Millie had 9 bracelets. She lost 2 of them. How many bracelets does Millie have left?,7 (bracelets),Subtraction,9-2=7
nluds-0055,ASDiv,1-2,Sammy has 9 math problems to do for homework. He has already finished 2 of them. How many math problems does Sammy have left?,7 (math problems),Subtraction,9-2=7
nluds-0056,ASDiv,1-2,"There were 10 students riding on the school bus. At the first stop, 3 students got off of the bus. How many students are left on the bus?",7 (students),Subtraction,10-3=7
nluds-0057,ASDiv,1-2,There were 8 ducks swimming in the pond. 3 ducks flew away. How many ducks are still swimming in the pond?,5 (ducks),Subtraction,8-3=5
nluds-0058,ASDiv,1-2,Lucy went to the grocery store. She bought 12 packs of cookies and 16 packs of noodles. How many packs of groceries did she buy in all?,28 (packs),Addition,12+16=28
nluds-0059,ASDiv,1-2,Roden went to a pet shop. He bought 15 gold fish and 7 blue fish. How many fish did he buy?,22 (fish),Addition,15+7=22
nluds-0060,ASDiv,1-2,"I read 21 pages of my English book yesterday. Today, I read 17 pages. What is the total number of pages did I read?",38 (pages),Addition,21+17=38
nluds-0061,ASDiv,1-2,"In a school, there are 542 girls and 387 boys. How many pupils are there in that school?",929 (pupils),Addition,542+387=929
nluds-0062,ASDiv,1-2,Linda has 34 candies. Chloe has 28. How many candies do they have in all?,62 (candies),Addition,34+28=62
nluds-0063,ASDiv,1-2,Jose has 28 chickens and 18 ducks. How many fowls does he have?,46 (fowls),Addition,28+18=46
nluds-0064,ASDiv,1-2,Gino has 63 popsicle sticks. I have 50 popsicle sticks. What is the sum of our popsicle sticks?,113 (popsicle sticks),Addition,63+50=113
nluds-0065,ASDiv,1-2,Lino picked up 292 shells at the seashore in the morning and 324 shells in the afternoon. How many shells did he pick up in all?,616 (shells),Addition,292+324=616
nluds-0066,ASDiv,1-2,"There were 105 parents in the program and 698 pupils, too. How many people were present in the program?",803 (people),Addition,105+698=803
nluds-0067,ASDiv,1-2,"Last Saturday, Marie sold 425 magazines and 275 newspapers. What is the total number of reading materials she sold?",700 (reading materials),Addition,425+275=700
nluds-0068,ASDiv,1-2,There are twelve birds on the fence. Eight more birds land on the fence. How many birds are on the fence?,20 (birds),Addition,12+8=20
nluds-0069,ASDiv,1-2,Twenty-two boys went down the slide. Thirteen more boys went down the slide. How many boys went down the slide?,35 (boys),Addition,22+13=35
nluds-0070,ASDiv,1-2,Thirteen ducks are swimming in a lake. Twenty more ducks come to join them. How many ducks are swimming in the lake?,33 (ducks),Addition,13+20=33
nluds-0071,ASDiv,1-2,Thirty dogs are barking. Ten more dogs start to bark. How many dogs are barking?,40 (dogs),Addition,30+10=40
nluds-0072,ASDiv,1-2,"Bobby ate twenty-six pieces of candy. Then, he ate seventeen more. How many pieces of candy did Bobby eat?",43 (pieces),Addition,26+17=43
nluds-0073,ASDiv,1-2,Sandy had twenty-six pet fish. She bought six more fish. How many pet fish does Sandy have now?,32 (pet fish),Addition,26+6=32
nluds-0074,ASDiv,1-2,The clown blew up forty-seven balloons. Then he blew up thirteen more balloons. How many balloons does the clown have now?,60 (balloons),Addition,47+13=60
nluds-0075,ASDiv,1-2,Our class got fifty-four books from the library. Then we got twenty-three more books from the library. How many books did our class get from the library?,77 (books),Addition,54+23=77
nluds-0076,ASDiv,1-2,Tessa has 4 apples. Anita gave her 5 more. She needs 10 apples to make a pie. Does she have enough to make a pie?,Yes,Comparison,4+5=9 apples < 10 apples
nluds-0077,ASDiv,1-2,Julia played tag with 12 kids on Monday. She played tag with 7 kids on Tuesday. How many kids did she play with altogether?,19 (kids),Addition,12+7=19
nluds-0078,ASDiv,1-2,Molly had 14 candles on her birthday cake. She grew older and got 6 more on her birthday cake. How old is Molly now?,20 (years old),Addition,14+6=20
nluds-0079,ASDiv,1-2,James ate 22 carrot sticks before dinner and 15 more after dinner. How many carrot sticks did he eat?,37 (carrot sticks),Addition,22+15=37
nluds-0080,ASDiv,1-2,Charles found 6 pennies on his way to school. He also had 3 nickels already at home. How much money does he now have in all?,21 (cents),Addition,6 (penny)*1 (cent/penny) + 3 (nickel)*5 (cent/nickel) = 21 (cent)
nluds-0081,ASDiv,1-2,"Jovana filled her bucket with 5 pounds of shells. If she adds 12 more pounds of shell to fill her bucket, how many pounds does she have?",17 (pounds),Addition,5+12=17
nluds-0082,ASDiv,1-2,"Jovana filled her bucket with 5 pounds of shells. If a friend comes to add 15 pounds of shells, and another friend comes to add 17 pounds of shells, how many pounds does she have altogether?",37 (pounds),Sum,5+15+17=37
nluds-0083,ASDiv,1-2,"Isha's pencil is 12 cubes long. If she gets another pencil that is 12 cubes long, how many cubes long are both pencils?",24 (cubes),Addition,12+12=24
nluds-0084,ASDiv,1-2,Isabella's hair is 18 cubes long. She gets hair extensions and it doubles her length. How much hair does she have now?,36 (cubes),Addition,18+18=36
nluds-0085,ASDiv,1-2,"Isabella's hair is 18 cubes long. If her hair grows 4 more inches, how long will it be?",22 (cubes),Addition,18+4=22
nluds-0086,ASDiv,1-2,Mrs. Sheridan has 17 cats. Mr. Sheridan gave her 14 more cats. How many cats does Mrs. Sheridan have altogether?,31 (cats),Addition,17+14=31
nluds-0087,ASDiv,1-2,Mrs. Sheridan has 22 fish. Her sister gave her 47 more fish. How many fish does she have now?,69 (fish),Addition,22+47=69
nluds-0088,ASDiv,1-2,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 3 heart biscuits each, how many biscuits does she need to buy?",6 (biscuits),Addition,3+3=6
nluds-0089,ASDiv,1-2,"Mrs. Heine is buying Valentine's Day treats for her 2 dogs. If she wants to buy them 5 heart biscuits each and a set of puppy boots each, how many items will she buy?",12 (items),Addition,(5+1)+(5+1)=12
nluds-0090,ASDiv,1-2,Cade had 87 marbles. He gave 8 to Dylan. How many does he have left?,79 (marbles),Subtraction,87-8=79
nluds-0091,ASDiv,1-2,Michael has some fish in his fish tank. Ben gave him 18 more fish. Now he has 49. How many fish did he have to begin with?,31 (fish),Subtraction,49-18=31
nluds-0092,ASDiv,1-2,Daniel had some noodles. He gave 12 noodles to William. Now Daniel only has 54 noodles. How many noodles did Daniel have to begin with?,66 (noodles),Addition,54+12=66
nluds-0093,ASDiv,1-2,Hayley had 25 meatballs on her plate. Kirsten stole some of her meatballs. Now she has 11 meatballs on her plate. How many meatballs did Kirsten steal?,14 (meatballs),Subtraction,25-11=14
nluds-0094,ASDiv,1-2,"Isabella's hair is 18 inches long. If she gets a haircut and now her hair is 9 inches long, how much of Isabella's hair got cut off?",9 (inches),Subtraction,18-9=9
nluds-0095,ASDiv,1-2,Isabella's hair is 18 inches long. By the end of the year her hair is 24 inches long. How much hair did she grow?,6 (inches),Subtraction,24-18=6
nluds-0096,ASDiv,1-2,Jovana had 5 pounds of shells in her bucket. She added some shells and now has 28 pounds of shells. How many pounds did she add?,23 (pounds),Subtraction,28-5=23
nluds-0097,ASDiv,1-2,"Isha's pencil is 31 inches long. If she sharpens it, now her pencil is 14 inches long. How much did she sharpen off of her pencil?",17 (inches),Subtraction,31-14=17
nluds-0098,ASDiv,1-2,"Isha's pencil is 22 inches long. If she sharpens two inches off on Monday and two inches on Tuesday, how long will her pencil be then?",18 (inches),TVQ-Final,22-2-2=18
nluds-0099,ASDiv,1-2,Mrs. Sheridan has 11 cats. How many more cats does Mrs. Sheridan need to have 43 cats?,32 (cats),Subtraction,43-11=32
nluds-0100,ASDiv,1-2,Mrs. Wong had 30 Valentines. She gave 8 Valentines to her children. How many does she have left?,22 (Valentines),Subtraction,30-8=22
nluds-0101,ASDiv,1-2,Mrs. Franklin had 58 Valentines. Mrs. Franklin gave some to her students. Now she has 16. How many Valentines did Mrs. Franklin give to her students?,42 (Valentines),Subtraction,58-16=42
nluds-0102,ASDiv,1-2,Mrs. Snyder made 86 heart cookies. She made 36 red cookies and the rest are pink. How many pink cookies did she make?,50 (pink cookies),Subtraction,86-36=50
nluds-0103,ASDiv,1-2,29 birds were sitting in a tree. Some more fly up to the tree. Then there were 42 birds in the tree. How many more flew up to the tree?,13 (birds),Subtraction,42-29=13
nluds-0104,ASDiv,1-2,"18 children were riding on the bus. At the bus stop, some more children got on the bus. Then there were 25 children altogether on the bus. How many children got on the bus at the bus stop?",7 (children),Subtraction,25-18=7
nluds-0105,ASDiv,1-2,There were 28 girls and 35 boys on the playground at recess. How many children were there in all?,63 (children),Addition,28+35=63
nluds-0106,ASDiv,1-2,The elephant had 407 peanuts. She ate 129 of them. How many peanuts did the elephant have left?,278 (peanuts),Subtraction,407-129=278
nluds-0107,ASDiv,1-2,There were 58 geese and 37 ducks in the marsh. How many birds were there in all?,95 (birds),Addition,58+37=95
nluds-0108,ASDiv,1-2,Robin had 18 pieces of gum. Her brother gave her some more pieces. Now Robin has 44 pieces in all. How many pieces of gum did Robin's brother give her?,26 (pieces),Subtraction,44-18=26
nluds-0109,ASDiv,1-2,"Tommy had some balloons. His mom gave him 34 more balloons for his birthday. Then, Tommy had 60 balloons. How many balloons did Tommy have to start with?",26 (balloons),Subtraction,60-34=26
nluds-0110,ASDiv,1-2,Alex had some candles for his Jack O'Lanterns. He used 32 of them. Now he has 12 left. How many candles did Alex have to start with?,44 (candles),Addition,32+12=44
nluds-0111,ASDiv,1-2,There were 14 kids on the soccer field. 22 kids decided to join in. Now how many kids are on the soccer field?,36 (kids),Addition,14+22=36
nluds-0112,ASDiv,1-2,Finn has 89 goldfish. 32 of the goldfish die. How many goldfish are left?,57 (goldfish),Subtraction,89-32=57
nluds-0113,ASDiv,1-2,"Jane has 28 old, brown sheets of drawing paper and 27 old, yellow sheets of drawing paper. How many pieces of drawing paper does she have?",55 (pieces of drawing paper),Addition,28+27=55
nluds-0114,ASDiv,1-2,Mikey had 356 leaves. Some of her leaves blew away. Now she has 112 leaves left. How many of her leaves blew away?,244 (leaves),Subtraction,356-112=244
nluds-0115,ASDiv,1-2,Marcus has 210 baseball cards. He has 58 more than Carter. How many baseball cards does Carter have?,152 (baseball cards),Subtraction,210-58=152
nluds-0116,ASDiv,1-2,Gavin has 23 shirts. 6 are blue the rest are green. How many green shirts does Gavin have?,17 (green shirts),Subtraction,23-6=17
nluds-0117,ASDiv,1-2,Ethan has 31 presents. Alissa has 22 more than Ethan. How many presents does Alissa have?,53 (presents),Addition,31+22=53
nluds-0118,ASDiv,1-2,"Cindy had 41 pieces of candy. She ate six pieces in the morning, and twelve more pieces in the afternoon. How many pieces of candy does she have left?",23 (pieces of candy),TVQ-Final,41-6-12=23
nluds-0119,ASDiv,1-2,Robert wants to practice goal kicks for soccer. He decides to have 98 kicks before going home from the park. He takes 43 kicks before taking a break to get a drink of water. He then takes another 36 kicks. How many more kicks does he need to make before he goes home?,19 (kicks),TVQ-Final,98-43-36=19
nluds-0120,ASDiv,1-2,Cindy has 105 stickers. She uses 23 stickers. She buys 45 more stickers. How many stickers does Cindy have now?,127 (stickers),TVQ-Final,105-23+45=127
nluds-0121,ASDiv,1-2,Brian has 39 pencils. He gives 18 pencils to a friend. He buys 22 more pencils. How many pencils does Brian have now?,43 (pencils),TVQ-Final,39-18+22=43
nluds-0122,ASDiv,1-2,Karen has 252 markers. Her mother gives her 34 more markers. Karen loses 11 markers. How many markers does she have now?,275 (markers),TVQ-Final,252+34-11=275
nluds-0123,ASDiv,1-2,On the first day of the week Pat had 39 stickers. Pat earned 22 more during the week. How many stickers did Pat have at the end of the week?,61 (stickers),Addition,39+22=61
nluds-0124,ASDiv,1-2,Kelly had 56 apples. How many more apples does Kelly need to pick to have 105 apples altogether?,49 (apples),Subtraction,105-56=49
nluds-0125,ASDiv,1-2,Todd has some gum. Steve gave him 16 more pieces of gum. Now Todd has 54 pieces of gum. How many pieces did Todd have to start with?,38 (pieces),Subtraction,54-16=38
nluds-0126,ASDiv,1-2,Josh had 142 pencils. He gave 31 pencils to Dorothy. How many pencils does Josh have left?,111 (pencils),Subtraction,142-31=111
nluds-0127,ASDiv,1-2,Nell collects baseball cards. She had 304 cards. She gave some of her cards to Jeff and now has 276 cards left. How many cards did Nell give to Jeff?,28 (cards),Subtraction,304-276=28
nluds-0128,ASDiv,1-2,"Sarah had some trucks. She gave 13 to Jeff, and now she has 38 trucks left. How many trucks did Sarah have to start with?",51 (trucks),Addition,38+13=51
nluds-0129,ASDiv,1-2,There are 40 boys and some girls on the playground. There are 117 children altogether. How many girls are on the playground?,77 (girls),Subtraction,117-40=77
nluds-0130,ASDiv,1-2,Each CD rack holds 8 CDs. A shelf can hold four racks. How many total CDs can fit on the shelf?,32 (CDs),Sum,8+8+8+8=32
nluds-0131,ASDiv,1-2,Carla has some marbles. She bought 134 marbles. Now she has 187 marbles. How many did she start with?,53 (marbles),Subtraction,187-134=53
nluds-0132,ASDiv,1-2,Paco had 35 cookies. He ate 6 of them. How many cookies did Paco have left?,29 (cookies),Subtraction,35-6=29
nluds-0133,ASDiv,1-2,Connie has 41 red markers and 64 blue markers. How many markers does she have altogether?,105 (markers),Addition,41+64=105
nluds-0134,ASDiv,1-2,"Joe had fifty toy cars. If he gets twelve more cars, how many cars will he have then?",62 (cars),Addition,50+12=62
nluds-0135,ASDiv,1-2,Maria had twenty-five pieces of gum. Tommy gave her sixteen more pieces. Luis gave her twenty more pieces. How many pieces of gum does Maria have now?,61 (pieces of gum),Sum,25+16+20=61
nluds-0136,ASDiv,1-2,There are sixty-four pigs in the barn. Some more come to join them. Now there are eighty-six pigs. How many pigs came to join them?,22 (pigs),Subtraction,86-64=22
nluds-0137,ASDiv,1-2,"Rosa had sixty-seven flowers. Andre gave her some more flowers. Now, Rosa has ninety flowers. How many flowers did Andre give to Rosa?",23 (flowers),Subtraction,90-67=23
nluds-0138,ASDiv,1-2,Adolfo made a tower with thirty-five blocks. He added some more blocks and now he has sixty-five blocks. How many did he have to add?,30 (blocks),Subtraction,65-35=30
nluds-0139,ASDiv,1-2,Lucy put sixty-eight shells in her bucket. She found some more shells and now she has eighty-nine shells. How many more did she find?,21 (shells),Subtraction,89-68=21
nluds-0140,ASDiv,1-2,Hugo had seventy-nine stickers in his sticker book. He got some more to add to his book and now he has one hundred-twenty stickers. How many did he add to his book?,41 (stickers),Subtraction,120-79=41
nluds-0141,ASDiv,1-2,Josh had 16 marbles in his collection. He lost 7 marbles. How many marbles does he have now?,9 (marbles),Subtraction,16-7=9
nluds-0142,ASDiv,1-2,Megan has 19 seashells. How many more seashells does she need to find to have 25 seashells in her collection?,6 (seashells),Subtraction,25-19=6
nluds-0143,ASDiv,1-2,Brad has 17 balloons. 8 balloons are red and the rest are green. How many green balloons does Brad have?,9 (balloons),Subtraction,17-8=9
nluds-0144,ASDiv,1-2,There are 38 books on the shelf. Marta put 10 more books on the shelf. How many books are on the shelf now?,48 (books),Addition,38+10=48
nluds-0145,ASDiv,1-2,A bee has 6 legs. How many legs do 8 bees have?,48 (legs),Multiplication,6*8=48
nluds-0146,ASDiv,1-2,Mrs. Hilt bought an ice cream cone for 99 cents. How much would 2 ice cream cones cost?,198 (cents),Addition,99+99=198 cents
nluds-0147,ASDiv,1-2,Mrs. Hilt wants to make a border around her garden. She needs 125 rocks to complete the border. She has 64 rocks. How many more rocks does she need to complete the border?,61 (rocks),Subtraction,125-64=61
nluds-0148,ASDiv,1-2,Mrs. Hilt had 38 marbles. She lost 15 of them. How many marbles does she have left?,23 (marbles),Subtraction,38-15=23
nluds-0149,ASDiv,1-2,Mrs. Hilt and her sister drove to a concert 78 miles away. They drove 32 miles and then stopped for gas. Her sister put 28 gallons of gas in the car. How many miles did they have left to drive?,46 (miles),Subtraction,78-32=46
nluds-0150,ASDiv,1-2,Mrs. Hilt spent 1 hour and 30 minutes shoveling snow on Saturday morning and 45 minutes shoveling snow on Saturday afternoon. How much total time did she spend shoveling snow?,135 (minutes),Sum,(1 (hour)*60 (min/hour)) = 60 (min); 60 + 30 + 45 = 135
nluds-0151,ASDiv,1-2,Mrs. Hilt bought 6 hot dogs. Each hot dog cost 50 cents. How much money did she pay for all of the hot dogs?,300 (cents),Multiplication,6*50=300
nluds-0152,ASDiv,1-2,Mrs. Hilt reads 13 books on every day that starts with the letters T and S. How many books does she read in one week?,52 (books),Multiplication,13*4=52
nluds-0153,ASDiv,1-2,Mrs. Hilt has 50 cents. A pencil costs 5 cents. How many pencils can she buy with the money she has?,10 (pencils),Common-Division,50/5=10
nluds-0154,ASDiv,1-2,"Mrs. Hilt saw 33 butterflies. Some of the butterflies were red and others were orange. If 20 of the butterflies were orange, how many of them were red?",13 (butterflies),Subtraction,33-20=13
nluds-0155,ASDiv,1-2,Mrs. Hilt bought a pencil for 17 cents. She used exactly minimized coins to buy the pencil. How many coins did she use?,4 (coins),Sum,17/10=1 r7; 7/5=1 r2; 2/1=2; 1+1+2=4
nluds-0156,ASDiv,1-2,Mrs. Hilt had 43 cents. She bought a pencil for 20 cents and a piece of candy for 5 cents. How much money did she have left?,18 (cents),TVQ-Final,43-20-5=18
nluds-0157,ASDiv,1-2,"On Tuesday, Mrs. Hilt saw 88 raisins on a tray in the cafeteria. That was 8 more raisins than she saw the day before. How many raisins were on the table on Monday?",80 (raisins),Subtraction,88-8=80
nluds-0158,ASDiv,1-2,"Mrs. Hilt bought carnival tickets. The tickets cost $1 for 4 tickets. If Mrs. Hilt bought 12 tickets, how much did she pay?",3 (dollars),Common-Division,12/4=3
nluds-0159,ASDiv,1-2,Mrs. Hilt bought 3 pizzas for $8 each. What was the total amount she paid for the three pizzas?,24 (dollars),Multiplication,3*8=24
nluds-0160,ASDiv,1-2,"Mrs. Hilt saw 21 snakes, 11 alligators, 36 frogs, and 57 bears. How many reptiles did Mrs. Hilt see?",32 (reptiles),Addition,21+11=32
nluds-0161,ASDiv,1-2,The Hawks scored three touchdowns worth 7 points each. How many points do they have?,21 (points),Multiplication,7*3=21
nluds-0162,ASDiv,1-2,I have 28 cents in my pocket. How coins could I have on minimization?,4 (coins),Addition,28/25=1 r3; 3/1=3; 1+3=4
nluds-0163,ASDiv,1-2,Zach scored 42 points in the football game. Ben scored 21 points. How many more points did Zach score?,21 (points),Subtraction,42-21=21
nluds-0164,ASDiv,1-2,A game spinner has 5 equal parts. Two parts are blue and three parts are purple. Which color would you most likely spin?,Purple,Comparison,2 parts(Blue) < 3 parts(Purple)
nluds-0165,ASDiv,1-2,"I have 3 hundreds, 8 tens, and 3 ones. What number am I?",383,Number-Operation,(3*100)+(8*10)+(3*1)=383
nluds-0166,ASDiv,1-2,The puppet show begins at 2:00 p.m. It lasts 1 hour and 30 minutes. What time does it end?,3:30 p.m.,Sum,(2 (hour)*60 (min/hour) + 1 (hour)*60 (min/hour) + 30 (min))/60 (min/hour)=3 r30; hh:mm=3:30 p.m.
nluds-0167,ASDiv,1-2,John's birthday is January 20th. His sister's birthday comes 14 days later. When is his sister's birthday?,February 3rd,Subtraction,(20+14)-31=3
